turn,player,budget,action1,action2,action3,action4,action5,action6
1,2,0,Collect frequency:4,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%60;P2%60;P3%60;P4%60;)
1,3,15,Collect frequency:2,Maintenance of water treatment facilities:false
1,4,0,Collect frequency:4,Maintenance of water treatment facilities:false
1,1,0,Collect frequency:4,Maintenance of water treatment facilities:false
2,3,0,Collect frequency:4,Maintenance of water treatment facilities:true,Put part of the fields in fallow
2,2,30,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings
2,4,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
2,1,10,Collect frequency:4,Maintenance of water treatment facilities:true,Put part of the fields in fallow
3,1,10,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high
3,4,2,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Help farmers to buy manure:high
3,3,10,Collect frequency:4,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings
3,2,5,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to reduce pesticides use
4,1,5,Collect frequency:4,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings
4,3,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
4,2,10,Collect frequency:4,Maintenance of water treatment facilities:true,Put part of the fields in fallow
4,4,15,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
5,1,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to reduce pesticides use
5,2,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Organise sensibilization events about waste sorting
5,4,2,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Organise sensibilization events about waste sorting,Help farmers to buy manure:low
5,3,22,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Organise sensibilization events about waste sorting
6,4,15,Collect frequency:4,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings
6,1,10,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high
6,3,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to reduce pesticides use
6,2,7,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Organise sensibilization events about waste sorting,Help farmers to buy manure:low
7,4,10,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Help farmers to buy manure:low
7,3,5,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
7,2,2,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Organise sensibilization events about waste sorting,Help farmers to buy manure:low
7,1,15,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting
